iter	Passed	Remaining
0	0	70
1	1	66
2	2	64
3	2	60
4	3	59
5	3	58
6	4	56
7	4	54
8	5	53
9	5	51
10	6	50
11	6	49
12	7	48
13	7	48
14	8	47
15	8	46
16	9	45
17	9	44
18	10	43
19	10	43
20	11	42
21	11	42
22	12	41
23	12	41
24	13	40
25	14	40
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	34
37	20	33
38	21	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	33	19
64	34	18
65	34	18
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	9
81	43	9
82	43	8
83	43	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	48	3
93	49	3
94	49	2
95	50	2
96	50	1
97	51	1
98	51	0
99	52	0
