iter	Passed	Remaining
0	138	138226
1	139	69778
2	140	46721
3	141	35234
4	142	28316
5	143	23705
6	143	20385
7	144	17913
8	145	15985
9	145	14433
10	146	13164
11	147	12115
12	147	11223
13	148	10454
14	149	9794
15	149	9207
16	150	8687
17	150	8231
18	151	7825
19	152	7453
20	152	7115
21	153	6812
22	153	6532
23	154	6278
24	155	6045
25	155	5831
26	156	5633
27	156	5445
28	157	5269
29	157	5105
30	158	4953
31	159	4813
32	159	4679
33	160	4555
34	160	4434
35	161	4321
36	161	4214
37	162	4113
38	163	4016
39	163	3924
40	164	3838
41	164	3754
42	165	3675
43	165	3600
44	166	3528
45	166	3460
46	167	3393
47	167	3330
48	168	3271
49	169	3215
50	169	3160
51	170	3107
52	170	3055
53	171	3005
54	172	2957
55	172	2911
56	173	2868
57	173	2823
58	174	2781
59	174	2739
60	175	2699
61	175	2662
62	176	2626
63	177	2591
64	177	2557
65	178	2522
66	178	2489
67	179	2459
68	179	2428
69	180	2399
70	181	2371
71	181	2342
72	182	2314
73	182	2286
74	183	2260
75	183	2235
76	184	2209
77	184	2184
78	185	2161
79	185	2137
80	186	2114
81	186	2092
82	187	2067
83	187	2046
84	188	2026
85	188	2006
86	189	1986
87	189	1966
88	190	1948
89	190	1929
90	191	1912
91	192	1895
92	192	1877
93	193	1860
94	193	1844
95	194	1828
96	194	1814
97	195	1798
98	195	1783
99	196	1768
100	196	1752
101	197	1738
102	198	1725
103	198	1711
104	199	1697
105	199	1683
106	200	1670
107	200	1657
108	201	1645
109	201	1633
110	202	1620
111	202	1608
112	203	1596
113	203	1584
114	204	1573
115	204	1562
116	205	1550
117	206	1540
118	206	1530
119	207	1519
120	207	1509
121	208	1498
122	208	1488
123	209	1478
124	209	1469
125	210	1459
126	210	1449
127	211	1439
128	211	1430
129	212	1421
130	212	1412
131	213	1403
132	213	1394
133	214	1386
134	215	1378
135	215	1369
136	216	1361
137	216	1353
138	217	1346
139	217	1338
140	218	1330
141	218	1321
142	219	1313
143	219	1306
144	220	1299
145	220	1291
146	221	1284
147	221	1277
148	222	1270
149	222	1263
150	223	1256
151	223	1249
152	224	1243
153	225	1236
154	225	1229
155	226	1223
156	226	1216
157	227	1210
158	227	1204
159	228	1198
160	228	1191
161	229	1185
162	229	1179
163	230	1173
164	230	1167
165	231	1161
166	231	1155
167	232	1150
168	232	1144
169	233	1138
170	234	1136
171	234	1130
172	235	1125
173	235	1119
174	236	1114
175	236	1109
176	237	1103
177	237	1098
178	238	1093
179	238	1088
180	239	1083
181	239	1078
182	240	1073
183	240	1068
184	241	1063
185	241	1058
186	242	1053
187	242	1048
188	243	1044
189	243	1039
190	244	1034
191	244	1030
192	245	1025
193	245	1021
194	246	1016
195	246	1012
196	247	1007
197	247	1003
198	248	999
199	248	994
200	249	990
201	249	986
202	250	982
203	250	977
204	251	973
205	251	969
206	252	965
207	252	961
208	253	957
209	253	953
210	254	949
211	254	946
212	255	942
213	255	938
214	255	934
215	256	930
216	256	927
217	257	923
218	257	919
219	258	916
220	258	912
221	259	908
222	259	905
223	260	901
224	260	898
225	261	894
226	261	891
227	262	888
228	262	885
229	263	881
230	263	878
231	264	875
232	264	872
233	265	868
234	265	865
235	266	862
236	266	858
237	267	855
238	267	852
239	268	849
240	268	846
241	269	843
242	269	840
243	270	837
244	270	833
245	271	830
246	271	827
247	272	824
248	272	822
249	273	819
250	273	816
251	274	813
252	274	810
253	274	807
254	275	804
255	275	801
256	276	799
257	276	796
258	277	793
259	277	790
260	278	788
261	279	786
262	279	783
263	280	781
264	280	778
265	281	776
266	281	773
267	282	771
268	282	768
269	283	765
270	283	763
271	284	760
272	284	758
273	285	755
274	285	753
275	286	750
276	286	748
277	287	745
278	287	743
279	288	741
280	288	738
281	289	736
282	289	733
283	290	731
284	290	729
285	291	727
286	291	724
287	292	722
